1754777,84,0,0,1550,2260,Sidetracked Day,HDDTCL
3675267,14,0,0,1400,969 ,Azul Remix     ,DTCL
1711326,45,1,0,1500,1577,Owari          ,DTCL
1811527,62,2,2,1500,4088,Save Me        ,DTCL
2069969,37,0,0,1380,1477,Rat Race       ,HDDTHRCL
4415584,0 ,0,0,1280,257 ,Kuki Brazil    ,HDDTHRCL
